goos: linux
goarch: amd64
pkg: github.com/diegommm/runes
cpu: 11th Gen Intel(R) Core(TM) i7-1165G7 @ 2.80GHz
                                                                                                          │ results-bytes-strings-vs-is-strategy.txt │
                                                                                                          │                  sec/op                  │
IsInSetFunc/[len=1_min=209_span=0_runtime]_Non-ASCII/stdlib/strings.ContainsRune-8                                                      0.000 ± 0%
IsInSetFunc/[len=1_min=209_span=0_runtime]_Non-ASCII/isStrategy-8                                                                       0.000 ± 0%
IsInSetFunc/[len=2_min=65_span=1_runtime]_ASCII/stdlib/bytes.ContainsAny-8                                                              0.000 ± 0%
IsInSetFunc/[len=2_min=65_span=1_runtime]_ASCII/stdlib/strings.ContainsAny-8                                                            0.000 ± 0%
IsInSetFunc/[len=2_min=65_span=1_runtime]_ASCII/stdlib/bytes.ContainsRune-8                                                             0.000 ± 0%
IsInSetFunc/[len=2_min=65_span=1_runtime]_ASCII/stdlib/strings.ContainsRune-8                                                           0.000 ± 0%
IsInSetFunc/[len=2_min=65_span=1_runtime]_ASCII/isStrategy-8                                                                            0.000 ± 0%
IsInSetFunc/[len=2_min=209_span=19781_runtime]_Non-ASCII/stdlib/bytes.ContainsAny-8                                                     0.000 ± 0%
IsInSetFunc/[len=2_min=209_span=19781_runtime]_Non-ASCII/stdlib/strings.ContainsAny-8                                                   0.000 ± 0%
IsInSetFunc/[len=2_min=209_span=19781_runtime]_Non-ASCII/stdlib/bytes.ContainsRune-8                                                    0.000 ± 0%
IsInSetFunc/[len=2_min=209_span=19781_runtime]_Non-ASCII/stdlib/strings.ContainsRune-8                                                  0.000 ± 0%
IsInSetFunc/[len=2_min=209_span=19781_runtime]_Non-ASCII/isStrategy-8                                                                   0.000 ± 0%
IsInSetFunc/[len=24_min=32_span=23_runtime]_ASCII/stdlib/bytes.ContainsAny-8                                                            0.000 ± 0%
IsInSetFunc/[len=24_min=32_span=23_runtime]_ASCII/stdlib/strings.ContainsAny-8                                                          0.000 ± 0%
IsInSetFunc/[len=24_min=32_span=23_runtime]_ASCII/stdlib/bytes.ContainsRune-8                                                           0.000 ± 0%
IsInSetFunc/[len=24_min=32_span=23_runtime]_ASCII/stdlib/strings.ContainsRune-8                                                         0.000 ± 0%
IsInSetFunc/[len=24_min=32_span=23_runtime]_ASCII/isStrategy-8                                                                          0.000 ± 0%
IsInSetFunc/[len=25_min=32_span=24_runtime]_ASCII/stdlib/bytes.ContainsAny-8                                                            0.000 ± 0%
IsInSetFunc/[len=25_min=32_span=24_runtime]_ASCII/stdlib/strings.ContainsAny-8                                                          0.000 ± 0%
IsInSetFunc/[len=25_min=32_span=24_runtime]_ASCII/stdlib/bytes.ContainsRune-8                                                           0.000 ± 0%
IsInSetFunc/[len=25_min=32_span=24_runtime]_ASCII/stdlib/strings.ContainsRune-8                                                         0.000 ± 0%
IsInSetFunc/[len=25_min=32_span=24_runtime]_ASCII/isStrategy-8                                                                          0.000 ± 0%
IsInSetFunc/[len=26_min=32_span=25_runtime]_ASCII/stdlib/bytes.ContainsAny-8                                                            0.000 ± 0%
IsInSetFunc/[len=26_min=32_span=25_runtime]_ASCII/stdlib/strings.ContainsAny-8                                                          0.000 ± 0%
IsInSetFunc/[len=26_min=32_span=25_runtime]_ASCII/stdlib/bytes.ContainsRune-8                                                           0.000 ± 0%
IsInSetFunc/[len=26_min=32_span=25_runtime]_ASCII/stdlib/strings.ContainsRune-8                                                         0.000 ± 0%
IsInSetFunc/[len=26_min=32_span=25_runtime]_ASCII/isStrategy-8                                                                          0.000 ± 0%
IsInSetFunc/[len=64_min=32_span=63_runtime]_ASCII/stdlib/bytes.ContainsAny-8                                                            0.000 ± 0%
IsInSetFunc/[len=64_min=32_span=63_runtime]_ASCII/stdlib/strings.ContainsAny-8                                                          0.000 ± 0%
IsInSetFunc/[len=64_min=32_span=63_runtime]_ASCII/stdlib/bytes.ContainsRune-8                                                           0.000 ± 0%
IsInSetFunc/[len=64_min=32_span=63_runtime]_ASCII/stdlib/strings.ContainsRune-8                                                         0.000 ± 0%
IsInSetFunc/[len=64_min=32_span=63_runtime]_ASCII/isStrategy-8                                                                          0.000 ± 0%
IsInSetFunc/[len=64_min=209_span=63_runtime]_Non-ASCII/stdlib/bytes.ContainsAny-8                                                       0.000 ± 0%
IsInSetFunc/[len=64_min=209_span=63_runtime]_Non-ASCII/stdlib/strings.ContainsAny-8                                                     0.000 ± 0%
IsInSetFunc/[len=64_min=209_span=63_runtime]_Non-ASCII/stdlib/bytes.ContainsRune-8                                                      0.000 ± 0%
IsInSetFunc/[len=64_min=209_span=63_runtime]_Non-ASCII/stdlib/strings.ContainsRune-8                                                    0.000 ± 0%
IsInSetFunc/[len=64_min=209_span=63_runtime]_Non-ASCII/isStrategy-8                                                                     0.000 ± 0%
IsInSetFunc/[len=65_min=32_span=64_runtime]_ASCII/stdlib/bytes.ContainsAny-8                                                            0.000 ± 0%
